order,qtext,a_text,a_letter,b_text,b_letter
1,"Когда планируете неделю, вы скорее...","Заранее расписываете дела по дням","J","Оставляете пространство для импровизации","P"
2,"Перед дедлайном лучше работать...","С готовым планом и контрольными точками","J","По ситуации, реагируя на изменения","P"
3,"Списки задач для вас...","Необходимый инструмент","J","Опция, если вдруг понадобится","P"
4,"Ваш стол...","Аккуратно организован","J","Творческий беспорядок не мешает","P"
5,"Если встречу переносит другой человек...","Хотите сразу назначить новую дату","J","Оставляете открытым и вернётесь позже","P"
6,"Когда учитесь...","Следуете программе по шагам","J","Скачете между темами по интересу","P"
7,"В поездках вы...","Составляете маршрут и брони заранее","J","Любите решать на месте","P"
8,"Рабочие файлы...","Разложены по папкам и названиям","J","Находите по памяти и поиску","P"
9,"Новые проекты вы начинаете...","После чёткого брифа","J","Пока идея горячая, потом уточните","P"
10,"Отложенные дела...","Закрываете по чек-листу","J","Делаете, когда появится подходящее окно","P"
11,"Календарь...","Заполнен блоками","J","Свободный, чтобы было гибко","P"
12,"Когда планы меняются...","Хочется восстановить структуру","J","Вдохновляет новая возможность","P"
13,"Сроки для вас...","Жёсткие рамки","J","Ориентиры, не догма","P"
14,"На собраниях вы...","Двигаетесь по повестке","J","Открыты ответвлениям","P"
15,"Во время подготовки к экзамену...","Составляете график повторений","J","Учите порциями, как идёт","P"
16,"Когда собираете чемодан...","По списку, заранее","J","В последний момент, по ощущениям","P"
17,"В проектах любите...","Закрывать и ставить галочки","J","Держать варианты открытыми","P"
18,"Когда идея недоработана...","Сначала довести до чёткости","J","Пробовать на ходу","P"
19,"Вы больше цените...","Предсказуемость процесса","J","Свободу манёвра","P"
20,"В команде вы чаще...","Держите курс и сроки","J","Прожигаете новые тропы","P"
21,"Совместные правила...","Нужны и полезны","J","Зачастую мешают","P"
22,"Ежедневные привычки...","Стабильный распорядок","J","Меняются под настроение","P"
23,"При выборе задач...","Сначала завершить начатое","J","Схватить самое интересное","P"
24,"Финальный штрих...","Довести до идеала","J","Запустить, потом улучшать","P"
25,"Вечер после занятий вы скорее...","Проводите среди людей","E","В одиночестве для восстановления","I"
26,"В группе...","Легко вступаете в разговор","E","Сначала наблюдаете","I"
27,"Новые знакомства...","Заводите легко","E","Редко, но глубоко","I"
28,"На паре вопросов у преподавателя...","Озвучите вслух","E","Напишете и обсудите позже","I"
29,"Обмен идеями...","Вслух, через обсуждение","E","Внутри, через обдумывание","I"
30,"Вы заряжаетесь энергией...","От событий и общения","E","От уединения и тишины","I"
31,"На вечеринках...","В центре событий","E","На периферии, по-своему","I"
32,"Вечерний звонок другу...","Без повода — просто поговорить","E","По делу — когда есть тема","I"
33,"Обратная связь...","Сразу спросите","E","Подождёте, пока сами дадут","I"
34,"Новые места...","Исследуете с компанией","E","Предпочитаете в одиночку","I"
35,"Учиться лучше...","В группе/паре","E","Самостоятельно","I"
36,"Публичные выступления...","Скорее вдохновляют","E","Скорее изматывают","I"
37,"При встрече со знакомыми...","Охотно делитесь новостями","E","Слушаете и задаёте вопросы","I"
38,"Случайная пауза...","Заполните разговором","E","Насладитесь тишиной","I"
39,"Конфликт...","Предпочитаете разобрать сразу","E","Подумать и обсудить позже","I"
40,"В чате класса...","Активный участник","E","Читатель, без лишних сообщений","I"
41,"Первый день в новом месте...","Быстро находите контакты","E","Присматриваетесь","I"
42,"Свободный день...","План встреч и активностей","E","Домашние дела и личные занятия","I"
43,"Во время поездки...","Заводите разговор с попутчиками","E","Держите дистанцию","I"
44,"Вопрос к преподавателю...","Поднимете руку","E","Подойдёте после","I"
45,"Обсуждение задачи...","Уточните вслух","E","Сначала разберётесь сами","I"
46,"Пауза между уроками...","Ищете компанию","E","Ищете спокойный уголок","I"
47,"Выражение эмоций...","Видно сразу","E","Замечают только близкие","I"
48,"Новые темы вы понимаете лучше...","Через примеры и практику","S","Через общие идеи и связи","N"
49,"В описании задачи цените...","Конкретику и числа","S","Замысел и возможность","N"
50,"Рассказ друга...","Детали и факты","S","Смысл и подтекст","N"
51,"Эксперименты...","Проверить в реальности","S","Продумать мысленно","N"
52,"При покупке...","Смотрите характеристики","S","Представляете, как впишется в жизнь","N"
53,"Инструкции...","Читаете по шагам","S","Понимаете общую идею и действуете","N"
54,"Память о событиях...","Запоминаете подробности","S","Запоминаете смысл","N"
55,"Предпочтения в книгах/фильмах...","Про реальность, факты","S","Про миры и возможности","N"
56,"Новая информация...","Нужна проверка и источник","S","Сначала идея, потом проверка","N"
57,"Обучение навыку...","Повторением и практикой","S","Через модели и принципы","N"
58,"На уроке математики...","Сначала примеры, потом правило","S","Сначала правило, потом примеры","N"
59,"Описание места...","Точные ориентиры","S","Общее направление","N"
60,"Планы на будущее...","Опираетесь на текущие ресурсы","S","Думаете шире, что ещё возможно","N"
61,"Когда чините вещь...","Следуете схеме","S","Ищете нестандартное решение","N"
62,"Идея проекта...","Приземляете до конкретных шагов","S","Любите мозговой штурм возможного","N"
63,"Аргументы...","Факты и данные","S","Концепции и гипотезы","N"
64,"Замечаете...","Что именно изменилось","S","Почему это могло произойти","N"
65,"Учебные конспекты...","Строго по теме","S","Связи, стрелки, идеи на полях","N"
66,"Интереснее задача...","С понятным результатом","S","С открытым финалом","N"
67,"Фразы вам нравятся...","Прямые и однозначные","S","Образные и многослойные","N"
68,"При готовке...","Следуете рецепту","S","Экспериментируете со вкусами","N"
69,"На уроках истории...","Даты и факты","S","Причины и последствия","N"
70,"Первое впечатление...","Что видно и слышно","S","Что это означает","N"
71,"Спор решаете...","По критериям и логике","T","Учитывая чувства участников","F"
72,"Выбор проекта...","Где больше пользы/эффекта","T","Где выше вовлечённость людей","F"
73,"Трудный разговор...","Прямо по сути","T","Мягко, сохраняя отношения","F"
74,"Ошибку в работе...","Разберёте причины","T","Поддержите и ободрите","F"
75,"Похвала...","За результат","T","За старание и вклад","F"
76,"Правила...","Нужны ради справедливости","T","Нужны ради гармонии","F"
77,"Конфликт в команде...","Найти объективное решение","T","Примирить стороны","F"
78,"Критика...","Нормальный инструмент роста","T","Ранит, ею стоит бережно","F"
79,"Приоритизация...","По влиянию на цель","T","По людям и отношениям","F"
80,"Решение в стрессовой ситуации...","Держаться фактов","T","Прислушаться к эмоциям","F"
81,"Обратную связь даёте...","Конкретную и точную","T","Поддерживающую и тактичную","F"
82,"Выбор слов...","Точность важнее","T","Доброжелательность важнее","F"
83,"Волонтёрство...","Если видите реальный эффект","T","Если чувствуете отклик","F"
84,"Оценка идеи...","Работает или нет","T","Как на это отреагируют","F"
85,"Прощать ошибки...","Важно, но после анализа","T","Важно ради атмосферы","F"
86,"Дисциплина...","Про ответственность","T","Про уважение друг к другу","F"
87,"В споре с близкими...","Главное аргументы","T","Главное чувства","F"
88,"Награда команде...","За достигнутые метрики","T","За поддержку и вклад каждого","F"
89,"Вы замечаете прежде всего...","Несостыковки и риски","T","Настроения и отношения","F"
90,"Сложный выбор...","Составляете таблицу «за/против»","T","Прислушиваетесь к себе и другим","F"
91,"Книга или фильм...","Цените логичность сюжета","T","Цените эмоциональный отклик","F"
92,"Правда и мир...","Сначала правда","T","Сначала мир","F"
93,"Советы...","Прямо и по делу","T","Деликатно и с поддержкой","F"
